典拠	東島通商語	日本語直訳	和訳	英訳		
PMCFショーケース	alic e pac kojowi jo cacijaleti mele jo tulijo. jo pame, ka nip xabit eco.					
PMCFショーケース	panleti o kaleti cutep, ka xelit mele kante moleti kantel.					
PMCFショーケース	pa cukulal o lukup-lukup mol jo kantel. 					
PMCFショーケース	"bal mi cet luc ka kantel jo pame," alic ticot lucu, "cukulal o lukup-lukup mol lac......"					
あいさつ	cala! mi e tap. mi lukupit jo lipalain lukup.		こんにちは！　私はターフです。私はリパライン語で話しています。			
クレオール言語に関する一考察	mi		私			
クレオール言語に関する一考察	co		あなた			
クレオール言語に関する一考察	ka		これ、この人			
クレオール言語に関する一考察	ci		あれ、あの人			
クレオール言語に関する一考察	kame		何、何の			
クレオール言語に関する一考察	lata		人			
クレオール言語に関する一考察	kame lata		誰			
クレオール言語に関する一考察	nole		時			
クレオール言語に関する一考察	kame nole		いつ			
クレオール言語に関する一考察	poto		場所			
クレオール言語に関する一考察	kame poto		どこ			
クレオール言語に関する一考察	nalu		理由			
クレオール言語に関する一考察	kame nalu		なぜ			
クレオール言語に関する一考察	jo kame		いつ/どこ/なぜ			
クレオール言語に関する一考察	jo		～において、～に対して、～を、～という状態、～にとって、～によって、～から、～より、～に存在する			
クレオール言語に関する一考察	tude		行く、なる			
クレオール言語に関する一考察	kunlanleti julo		食べること			
クレオール言語に関する一考察	kunlanleti lata		食べる人			
クレオール言語に関する一考察	kunlanleti poto		食べる所			
クレオール言語に関する一考察	-leti		～の、～な（連体詞接辞）			
クレオール言語に関する一考察	-it		（他動詞接辞）			
クレオール言語に関する一考察	icic e pen.		ドアが開く			
クレオール言語に関する一考察	mi penit icic.		私はドアを開く。			
クレオール言語に関する一考察	mi cene lukup lipalain lukup.		私はリパライン語が話せます。			
クレオール言語に関する一考察	panka, papuc, panka		良い、ファフス（人名）、独特			
クレオール言語に関する一考察	bal, bepice, ben		茶、ヴェフィス民族、油			
クレオール言語に関する一考察	ci, ci		彼女、彼			
